FAKE_ACCTCODE,OPT_IN_DATE,FUEL_ONLY_PARENT_ACCT,CLI_AMOUNT,FLEETCOR_OPEN_DATE,CITY,STATE,ZIP,TERM_DAYS,DUE_DAYS,LOCK_DAYS,CREDIT_LIMIT,LOCK_CODE,LOCK_REASON,LOCK_TYPE,DEPOSIT_FLAG,PORTFOLIO,LOB_REPORTING,YEARMONTH,GALLONS,FUEL_SPEND,NONFUEL_SPEND,TOT_SPEND,PAYMENT_AMOUNT,NO_OF_PAYMENT,SNAPSHOT_DATE,CURRENT_BALANCE,UNBILLED_BALANCE,DAYS_PAST_DUE,BAL_1_30,BAL_31_60,BAL_61_90,BAL_90_PLUS
114871,3/22/2022,0,3500.00,2/9/2021,RIVEVIEW,FL,33578,30,14,10,200,Z,UNLOCKED,UNLOCKED,0,BPMC,NAP,202210,67.637,228.36,0,228.36,1066.73,1,44835,277.55,78.18,0,0,0,0,0
115426,8/16/2022,0,3500.00,2/25/2021,TAMPA,FL,33610,30,14,7,2800,Z,UNLOCKED,UNLOCKED,1,BPMC,NAP,202210,182.19,666.93,2046.21,2713.14,3836.49,4,44835,985.79,981.39,0,0,0,0,0
115474,6/2/2022,0,6500.00,2/26/2021,BLOOMFIELD,NJ,07003,30,14,10,13000,A,Other,PERM LOCK,0,BPMC,NAP,202210,19.89,86.71,0,86.71,382.02,2,44835,0,185.7,0,0,0,0,0
116558,7/10/2022,0,50000.00,3/26/2021,DES MOINES,IA,50315,30,14,10,50000,Z,UNLOCKED,UNLOCKED,0,CSMC,NAP,202210,1308.132,5572.69,290.67,5863.36,13306.1,2,44835,5385.41,2601.5,0,0,0,0,0
116599,5/20/2022,0,4000.00,3/27/2021,QUEENS VILLAGE,NY,11427,30,14,5,980,G,OVERDUE,PERM LOCK,1,BPMC,NAP,202210,91.61,389.37,100.12,489.49,1624.4,2,44835,481.24,70,0,0,0,0,0
114604,3/10/2022,0,5500.00,1/30/2021,KILLEEN,TX,76543,7,7,10,5000,Q,INACTIVE,PERM LOCK,0,FMMC,NAL MC,202210,884.97,4397.04,0,4397.04,3050,2,45231,0,359.88,0,0,0,0,0
115875,8/26/2022,0,3500.00,3/10/2021,CYPRESS,TX,77433,30,14,10,3500,I,BAD AGENCY,PERM LOCK,1,BPMC,NAP,202210,91.161,290.99,550.99,841.98,500,2,44835,0,0,0,0,0,0,0
116761,5/20/2022,0,3500.00,4/2/2021,ARLINGTON,TN,38002,7,7,5,1400,I,BAD AGENCY,PERM LOCK,0,BPMC,NAP,202211,0,0,9.73,9.73,450,3,44986,0,0,0,0,0,0,0
117239,9/28/2022,0,4000.00,4/14/2021,ANDERSON,SC,29625,30,14,7,1600,Z,UNLOCKED,UNLOCKED,1,BPMC,NAP,202210,0,0,821.63,821.63,1036.22,1,44835,0,0,0,0,0,0,0
136054,9/12/2022,0,7500.00,2/20/2022,BLYTHEWOOD,SC,29016,30,14,7,7500,I,BAD AGENCY,PERM LOCK,1,BPMC,NAP,202210,107.833,358.42,1451.42,1809.84,1129,2,44835,0,0,0,0,0,0,0
